Interpolated X1	Interpolated Y1
8.9	3.30384
8.925	3.29809
8.95	3.29233
8.975	3.28657
9	3.28081
9.025	3.27506
9.05	3.2693
9.075	3.26354
9.1	3.25779
9.125	3.25203
9.15	3.24626
9.175	3.24049
9.2	3.23472
9.225	3.22895
9.25	3.22318
9.275	3.21741
9.3	3.21164
9.325	3.20586
9.35	3.20009
9.375	3.19431
9.4	3.18853
9.425	3.18276
9.45	3.17698
9.475	3.17119
9.5	3.1654
9.525	3.15961
9.55	3.15382
9.575	3.14802
9.6	3.14223
9.625	3.13644
9.65	3.13065
9.675	3.12486
9.7	3.11907
9.725	3.11328
9.75	3.10749
9.775	3.1017
9.8	3.09591
9.825	3.09012
9.85	3.08433
9.875	3.07854
9.9	3.07275
9.925	3.06695
9.95	3.06115
9.975	3.05535
10	3.04954
10.025	3.04374
10.05	3.03794
10.075	3.03213
10.1	3.02632
10.125	3.02051
10.15	3.0147
10.175	3.00889
10.2	3.00308
10.225	2.99727
10.25	2.99145
10.275	2.98561
10.3	2.97977
10.325	2.97394
10.35	2.9681
10.375	2.96227
10.4	2.95643
10.425	2.95059
10.45	2.94476
10.475	2.93892
10.5	2.93309
10.525	2.92725
10.55	2.92141
10.575	2.91558
10.6	2.90974
10.625	2.9039
10.65	2.89807
10.675	2.89223
10.7	2.8864
10.725	2.88056
10.75	2.87472
10.775	2.86889
10.8	2.86305
10.825	2.85721
10.85	2.85138
10.875	2.84554
10.9	2.83968
10.925	2.83381
10.95	2.82793
10.975	2.82206
11	2.81619
11.025	2.81032
11.05	2.80443
11.075	2.79853
11.1	2.79262
11.125	2.78671
11.15	2.78081
11.175	2.7749
11.2	2.76899
11.225	2.76309
11.25	2.75718
11.275	2.75128
11.3	2.74538
11.325	2.73947
11.35	2.73357
11.375	2.72766
11.4	2.72176
11.425	2.71585
11.45	2.70995
11.475	2.70404
11.5	2.69814
11.525	2.69223
11.55	2.68633
11.575	2.68042
11.6	2.67452
11.625	2.66862
11.65	2.66271
11.675	2.65681
11.7	2.65088
11.725	2.64495
11.75	2.63902
11.775	2.63309
11.8	2.62716
11.825	2.62123
11.85	2.6153
11.875	2.60937
11.9	2.60343
11.925	2.5975
11.95	2.59156
11.975	2.58563
12	2.57969
12.025	2.57376
12.05	2.56783
12.075	2.56189
12.1	2.55596
12.125	2.55002
12.15	2.54409
12.175	2.53815
12.2	2.53222
12.225	2.52628
12.25	2.52035
12.275	2.51441
12.3	2.50848
12.325	2.50255
12.35	2.49661
12.375	2.49068
12.4	2.48474
12.425	2.47881
12.45	2.47287
12.475	2.46694
12.5	2.461
12.525	2.45507
12.55	2.44913
12.575	2.4432
12.6	2.43726
12.625	2.43133
12.65	2.4254
12.675	2.41948
12.7	2.41356
12.725	2.40764
12.75	2.40172
12.775	2.3958
12.8	2.38987
12.825	2.38395
12.85	2.37803
12.875	2.37211
12.9	2.36619
12.925	2.36027
12.95	2.35435
12.975	2.34841
13	2.34248
13.025	2.33654
13.05	2.3306
13.075	2.32467
13.1	2.31873
13.125	2.31279
13.15	2.30686
13.175	2.30092
13.2	2.29498
13.225	2.28905
13.25	2.28311
13.275	2.27717
13.3	2.27124
13.325	2.2653
13.35	2.25936
13.375	2.25342
13.4	2.24749
13.425	2.24155
13.45	2.23561
13.475	2.22967
13.5	2.22372
13.525	2.21777
13.55	2.21183
13.575	2.20588
13.6	2.19994
13.625	2.19395
13.65	2.18797
13.675	2.18199
13.7	2.176
13.725	2.17002
13.75	2.16403
13.775	2.15804
13.8	2.15203
13.825	2.14603
13.85	2.14003
13.875	2.13403
13.9	2.12802
13.925	2.12201
13.95	2.11598
13.975	2.10994
14	2.1039
14.025	2.09786
14.05	2.09183
14.075	2.08579
14.1	2.07975
14.125	2.07371
14.15	2.06768
14.175	2.06164
14.2	2.0556
14.225	2.04956
14.25	2.04353
14.275	2.03749
14.3	2.03145
14.325	2.02542
14.35	2.01938
14.375	2.01334
14.4	2.0073
14.425	2.0012
14.45	1.9951
14.475	1.989
14.5	1.98289
14.525	1.97679
14.55	1.97069
14.575	1.96457
14.6	1.95845
14.625	1.95233
14.65	1.94621
14.675	1.94009
14.7	1.93397
